Tag,Normalized,Count,Status,Variants
"mature themes","mature themes",3,"other",""
"outdoor art","outdoor art",3,"other",""
"recycled materials","recycled materials",3,"other","recycled materials; recycled-materials"
"harm reduction","harm reduction",3,"other",""
"fan forms","fan forms",3,"other",""
"partner drills","partner drills",3,"other",""
"sculpture exhibit","sculpture exhibit",3,"other",""
"16+","16+",3,"other",""
"collection showcase","collection showcase",3,"other","collection showcase; collection-showcase"
"weeknight","weeknight",3,"other",""
"game cafe","game cafe",3,"other","game cafe; game-cafe"
"spiritual abuse","spiritual abuse",3,"other",""
"12-step program","12 step program",3,"other","12-step program; 12 step program"
"touring-artist","touring artist",3,"other","touring-artist; touring artist"
"certification prep","certification prep",3,"other","certification prep; certification-prep"
"illustration","illustration",3,"other",""
"bring your own games","bring your own games",3,"other","bring your own games; bring-your-own-games"
"arena event","arena event",3,"other",""
"weekend recurring","weekend recurring",3,"other",""
"talent showcase","talent showcase",3,"other",""
"intuitive-readings","intuitive readings",3,"other","intuitive-readings; intuitive readings"
"outdoor market","outdoor market",3,"other",""
"thursday special","thursday special",3,"other","thursday special; thursday-special"
"outdoor dining","outdoor dining",3,"other","outdoor dining; outdoor-dining"
"buddhist practice","buddhist practice",3,"other",""
"museum program","museum program",3,"other","museum program; museum-program"
"hosted by marty","hosted by marty",3,"other","hosted by marty; hosted-by-marty"
"speakeasy","speakeasy",3,"other",""
"arena concert","arena concert",3,"other","arena concert; arena-concert"
"pub setting","pub setting",3,"other",""
"plants-and-nursery","plants and nursery",3,"other","plants-and-nursery; plants and nursery"
"rooftop","rooftop",3,"other",""
"listening room","listening room",3,"other",""
"6-person-team-max","6 person team max",3,"other","6-person-team-max; 6-person team max"
"amateur-friendly","amateur friendly",3,"other","amateur-friendly; amateur friendly"
"weekly-thursday","weekly thursday",3,"other","weekly-thursday; weekly thursday"
"gallery-exhibit","gallery exhibit",3,"other","gallery-exhibit; gallery exhibit"
"mixed-genre","mixed genre",3,"other","mixed-genre; mixed genre"
"homeschoolers","homeschoolers",3,"other",""
"hosted night","hosted night",3,"other","hosted night; hosted-night"
"early-bird","early bird",3,"other",""
"local-comics","local comics",3,"other","local-comics; local comics"
"free-beer-prizes","free beer prizes",3,"other","free-beer-prizes; free beer prizes"
"knitting","knitting",3,"other",""
"jivamukti yoga","jivamukti yoga",3,"other",""
"strenuous","strenuous",3,"other",""
"local government","local government",3,"other",""
"tourism development","tourism development",3,"other",""
"urban exploration","urban exploration",3,"other","urban exploration; urban-exploration"
"multilingual","multilingual",3,"other",""
"arboretum-installation","arboretum installation",3,"other","arboretum-installation; arboretum installation"
"study group","study group",3,"other","study group; study-group"
"songwriter showcase","songwriter showcase",3,"other",""
"black mountain venue","black mountain venue",3,"other",""
"electric music","electric music",3,"other",""
"6-person max","6 person max",3,"other","6-person max; 6-person-max"
"open-invite","open invite",3,"other",""
"beer-prizes","beer prizes",3,"other",""
"fans provided","fans provided",3,"other","fans provided; fans-provided"
"material-focused","material focused",3,"other",""
"early-birds","early birds",3,"other",""
"dj-led","dj led",3,"other",""
"one-world-brewing","one world brewing",3,"other","one-world-brewing; one world brewing"
"substance-use-recovery","substance use recovery",3,"other","substance-use-recovery; substance-use recovery"
"immersive","immersive",3,"other",""
"props provided","props provided",3,"other","props provided; props-provided"
"brewery setting","brewery setting",3,"other",""
"3-part series","3 part series",3,"other","3-part series; 3-part-series"
"agent meetup","agent meetup",3,"other",""
"beginners welcome","beginners welcome",3,"other",""
"moderate difficulty","moderate difficulty",3,"other",""
"weekly service","weekly service",3,"other",""
"welcoming vibe","welcoming vibe",3,"other",""
"craft night","craft night",3,"other",""
"casual drop-in","casual drop in",3,"other",""
"teams welcome","teams welcome",3,"other",""
"creative journaling","creative journaling",3,"other",""
"outdoor-installation","outdoor installation",3,"other",""
"art history","art history",3,"other",""
"bluegrass fusion","bluegrass fusion",3,"other",""
"acoustic-friendly","acoustic friendly",3,"other",""
"olivia-blahowsky","olivia blahowsky",3,"other","olivia-blahowsky; olivia blahowsky"
"douglas d. ellington","douglas d. ellington",3,"other",""
"local performers","local performers",3,"other",""
"interactive installation","interactive installation",3,"other","interactive installation; interactive-installation"
"riddles","riddles",3,"other",""
"featured readers","featured readers",3,"other",""
"heart-chakra","heart chakra",3,"other",""
"lineage practice","lineage practice",3,"other",""
"participant friendly","participant friendly",3,"other",""
"recreational","recreational",3,"other",""
"capm","capm",2,"other",""
"exam-prep","exam prep",2,"other","exam-prep; exam prep"
"silent practice","silent practice",2,"other",""
"sci-fi & horror","sci fi & horror",2,"other",""
"southern soul","southern soul",2,"other",""
"band","band",2,"other",""
"house band set","house band set",2,"other","house band set; house-band-set"
"brazilian music","brazilian music",2,"other",""
"five-course","five course",2,"other",""
"pilates","pilates",2,"other",""
"art collection","art collection",2,"other",""
"saxophone","saxophone",2,"other",""
"theatre venue","theatre venue",2,"other",""
"prix-fixe","prix fixe",2,"other",""
"mixed-arts","mixed arts",2,"other",""
"hosted-mic","hosted mic",2,"other","hosted-mic; hosted mic"
"black belt","black belt",2,"other","black belt; black-belt"
"corporate training","corporate training",2,"other",""
"cognitive development","cognitive development",2,"other","cognitive development; cognitive-development"
"addiction-affected","addiction affected",2,"other",""
"one-night-only","one night only",2,"other","one-night-only; one night only"
"collaborative","collaborative",2,"other",""
"multi-day class","multi day class",2,"other",""
"guided sitting","guided sitting",2,"other",""
"rsvp via email","rsvp via email",2,"other","rsvp via email; rsvp-via-email"
"experimental music","experimental music",2,"other",""
"close-looking","close looking",2,"other",""
"potluck","potluck",2,"other",""
"pickup game","pickup game",2,"other",""
"no fees","no fees",2,"other",""
"music history","music history",2,"other",""
"first-aid","first aid",2,"other","first-aid; first aid"
"make-and-take","make and take",2,"other",""
"female vocalist","female vocalist",2,"other",""
"hotel lounge","hotel lounge",2,"other",""
"soulful","soulful",2,"other",""
"watch party","watch party",2,"other",""
"adult-focused","adult focused",2,"other",""
"evening session","evening session",2,"other",""
"referral networking","referral networking",2,"other",""
"genre-spanning","genre spanning",2,"other",""
"vision-board","vision board",2,"other","vision-board; vision board"
"i-26 rivalry","i 26 rivalry",2,"other",""
"new-years","new years",2,"other",""
"modern buddhism","modern buddhism",2,"other",""
"multi-instrumentalist","multi instrumentalist",2,"other",""
"community engagement","community engagement",2,"other",""
"coffee-chat","coffee chat",2,"other","coffee-chat; coffee chat"
"drive-through","drive through",2,"other",""
"50-plus","50 plus",2,"other",""
"gallery opening","gallery opening",2,"other",""
"group sit","group sit",2,"other",""
"wellness studio","wellness studio",2,"other",""
"animal iconography","animal iconography",2,"other",""
"scenic","scenic",2,"other",""
"food-and-beverage-specials","food and beverage specials",2,"other",""
"world affairs","world affairs",2,"other",""
"night-run","night run",2,"other","night-run; night run"
"caller-led","caller led",2,"other",""
"flatfoot lesson","flatfoot lesson",2,"other",""
"basketball game","basketball game",2,"other",""
"5k","5k",2,"other",""
"10k","10k",2,"other",""
"infant","infant",2,"other",""
"festive atmosphere","festive atmosphere",2,"other",""
"sober community","sober community",2,"other","sober community; sober-community"
"chamber music","chamber music",2,"other",""
"pick-up game","pick up game",2,"other",""
"lego","lego",2,"other",""
"fantastical creatures","fantastical creatures",2,"other",""
"originals-and-covers","originals and covers",2,"other","originals-and-covers; originals and covers"
"natural materials","natural materials",2,"other",""
"indoor venue","indoor venue",2,"other",""
"bass-heavy","bass heavy",2,"other",""
"buddhist sangha","buddhist sangha",2,"other",""
"collection survey","collection survey",2,"other",""
"regional craft history","regional craft history",2,"other",""
"group-sitting","group sitting",2,"other",""
"light display","light display",2,"other",""
"trolls","trolls",2,"other",""
"leadership","leadership",2,"other",""
"outdoor meadow","outdoor meadow",2,"other",""
"dub","dub",2,"other",""
"taproom concert","taproom concert",2,"other",""
"weekly monday","weekly monday",2,"other","weekly monday; weekly-monday"
"age-friendly","age friendly",2,"other",""
"acoustic-instruments","acoustic instruments",2,"other","acoustic-instruments; acoustic instruments"
"slipknot-tribute","slipknot tribute",2,"other","slipknot-tribute; slipknot tribute"
"intuitive practitioners","intuitive practitioners",2,"other","intuitive practitioners; intuitive-practitioners"
"historic-house","historic house",2,"other","historic-house; historic house"
"online meditation","online meditation",2,"other",""
"new member welcome","new member welcome",2,"other",""
"contemporary dance","contemporary dance",2,"other",""
"paid event","paid event",2,"other",""
"wine tasting","wine tasting",2,"other",""
"practice group","practice group",2,"other",""
"black-led","black led",2,"other",""
"musical theater","musical theater",2,"other",""
"cocktails","cocktails",2,"other",""
"in-person meeting","in person meeting",2,"other",""
"midnight-countdown","midnight countdown",2,"other","midnight-countdown; midnight countdown"
"marketing","marketing",2,"other",""
"astronomy","astronomy",2,"other",""
"bottle-shop","bottle shop",2,"other",""
"dry-january","dry january",2,"other","dry-january; dry january"
"midnight toast","midnight toast",2,"other",""
"industrial","industrial",2,"other",""
"digital hardcore","digital hardcore",2,"other",""
"calming","calming",2,"other",""
"walk-through light show","walk through light show",2,"other",""
"botanical garden","botanical garden",2,"other",""
"museum-guided-tour","museum guided tour",2,"other",""
"spiritual deconstruction","spiritual deconstruction",2,"other",""
"unc asheville bulldogs","unc asheville bulldogs",2,"other",""
"guided journey","guided journey",2,"other",""
"designer feedback","designer feedback",2,"other","designer feedback; designer-feedback"
"rave","rave",2,"other",""
"folk opera","folk opera",2,"other",""
"sci-fi themed","sci fi themed",2,"other",""
"spiritual-service","spiritual service",2,"other","spiritual-service; spiritual service"
"material mastery","material mastery",2,"other",""
"sci-fi","sci fi",2,"other",""
"psychedelic","psychedelic",2,"other",""
"no cover","no cover",2,"other",""
"all ages show","all ages show",2,"other",""
"tournament-style","tournament style",2,"other",""
"standing exercises","standing exercises",2,"other",""
"hands-on building","hands on building",2,"other",""
"weeknight event","weeknight event",2,"other","weeknight event; weeknight-event"
"stage production","stage production",2,"other",""
"buddhist-based","buddhist based",2,"other",""
"riddle-focused","riddle focused",2,"other",""
"active listening","active listening",2,"other",""
"no advice","no advice",2,"other","no advice; no-advice"
"non-traditional flavors","non traditional flavors",2,"other",""
"western nc art","western nc art",2,"other",""
"experimental r&b","experimental r&b",2,"other",""
"mashup band","mashup band",2,"other",""
"religious trauma support","religious trauma support",2,"other",""
"black community","black community",2,"other",""
"restorative space","restorative space",2,"other",""
"open format","open format",2,"other","open format; open-format"
"midweek event","midweek event",2,"other",""
"social-play","social play",2,"other",""
"collection exhibition","collection exhibition",2,"other","collection exhibition; collection-exhibition"
"cards-provided","cards provided",2,"other","cards-provided; cards provided"
"acoustic-folk","acoustic folk",2,"other","acoustic-folk; acoustic folk"
"rock opera","rock opera",2,"other",""
"prize rounds","prize rounds",2,"other",""
"instructor-barbara","instructor barbara",2,"other",""
"a cappella","a cappella",2,"other",""
"vocal technique","vocal technique",2,"other",""
"irish traditional","irish traditional",2,"other",""
"southern rock","southern rock",2,"other",""
"rejuvenating","rejuvenating",2,"other",""
"house band provided","house band provided",2,"other",""
"forest-themed","forest themed",2,"other",""
"lighthearted","lighthearted",2,"other",""
"qi cultivation","qi cultivation",2,"other",""
"consent-first","consent first",2,"other",""
"retro jewelry","retro jewelry",2,"other","retro jewelry; retro-jewelry"
"antiques","antiques",2,"other",""
"alternative rock","alternative rock",2,"other",""
"indie music","indie music",2,"other",""
"sunday service","sunday service",2,"other",""
"social league","social league",2,"other",""
"brewery meadow","brewery meadow",2,"other",""
"register required","register required",2,"other",""
"spiritual exploration","spiritual exploration",2,"other",""
"chamber orchestra","chamber orchestra",2,"other",""
"special event","special event",2,"other",""
"brewery patio","brewery patio",2,"other",""
"community jam","community jam",2,"other",""
"wine pairing","wine pairing",2,"other","wine pairing; wine-pairing"
"devotional music","devotional music",2,"other",""
"all ages welcome","all ages welcome",2,"other",""
"eating disorder recovery","eating disorder recovery",2,"other",""
"intuitive development","intuitive development",2,"other",""
"instructional","instructional",2,"other",""
"standing-movements","standing movements",2,"other",""
"arts center","arts center",2,"other","arts center; arts-center"
"families anonymous","families anonymous",2,"other",""
"family-focused","family focused",2,"other",""
"movement meditation","movement meditation",2,"other",""
"rotating djs","rotating djs",2,"other",""
"cultural celebration","cultural celebration",2,"other",""
"spiritual practice","spiritual practice",2,"other","spiritual practice; spiritual-practice"
"space-music","space music",2,"other","space-music; space music"
"historic preservation","historic preservation",2,"other",""
"pub show","pub show",2,"other",""
"bluegrass music","bluegrass music",2,"other",""
"new-parents","new parents",2,"other",""
"crystal-singing-bowls","crystal singing bowls",2,"other","crystal-singing-bowls; crystal singing bowls"
"light-language","light language",2,"other","light-language; light language"
"spiritual center venue","spiritual center venue",2,"other",""
"personal development","personal development",2,"other",""
"seekhealing venue","seekhealing venue",2,"other",""
"diatribe brewing","diatribe brewing",2,"other",""
"cocktail specials","cocktail specials",2,"other",""
"small business owners","small business owners",2,"other",""
"multi-week course","multi week course",2,"other",""
"seasoned musicians","seasoned musicians",2,"other","seasoned musicians; seasoned-musicians"
"phone-play","phone play",2,"other","phone-play; phone play"
"queer","queer",2,"other",""
"long-term exhibit","long term exhibit",2,"other",""
"women's circle","women's circle",2,"other",""
"sisterhood","sisterhood",2,"other",""
"writing","writing",2,"other",""
"arboretum display","arboretum display",2,"other","arboretum display; arboretum-display"
"trio","trio",2,"other",""
"chill vibe","chill vibe",2,"other",""
"electronic funk","electronic funk",2,"other",""
"indoor arena","indoor arena",2,"other",""
"conference matchup","conference matchup",2,"other",""
"beer special","beer special",2,"other",""
"community-music","community music",2,"other","community-music; community music"
"coffee-meetup","coffee meetup",2,"other","coffee-meetup; coffee meetup"
"live-music-night","live music night",2,"other",""
"local community","local community",2,"other","local community; local-community"
"auditorium show","auditorium show",2,"other",""
"community stage","community stage",2,"other",""
"expressive art","expressive art",2,"other","expressive art; expressive-art"
"taproom-stage","taproom stage",2,"other","taproom-stage; taproom stage"
"indoor gym","indoor gym",2,"other",""
"supportive environment","supportive environment",2,"other",""
"digital nomads","digital nomads",2,"other",""
"table-drawing","table drawing",2,"other",""
"medieval-inspired","medieval inspired",2,"other",""
"coding","coding",2,"other",""
"birdwatching","birdwatching",2,"other",""
"dungeons and dragons","dungeons and dragons",2,"other",""
"dancehall-ragga","dancehall ragga",2,"other",""
"certification","certification",2,"other",""
"30-minute","30 minute",2,"other",""
"weekday event","weekday event",2,"other",""
"no-advice-policy","no advice policy",2,"other",""
"college-venue","college venue",2,"other","college-venue; college venue"
"emotional connection","emotional connection",2,"other",""
"no-advice rule","no advice rule",2,"other",""
"appalachian roots","appalachian roots",2,"other",""
"spectator friendly","spectator friendly",2,"other",""
"hotel venue","hotel venue",2,"other",""
"emerging artists","emerging artists",2,"other",""
"local legacy","local legacy",2,"other",""
"nervous-system repair","nervous system repair",2,"other",""
"drag","drag",2,"other",""
"hiking","hiking",2,"other",""
"themed event","themed event",2,"other",""
"quintet","quintet",2,"other",""
"coffeeshop meetup","coffeeshop meetup",2,"other",""
"no-critique","no critique",2,"other",""
"japanese","japanese",2,"other",""
"blue out","blue out",2,"other","blue out; blue-out"
"traditional-folk","traditional folk",2,"other",""
"open-session","open session",2,"other",""
"spiritual yoga","spiritual yoga",2,"other",""
"men-only","men only",2,"other","men-only; men only"
"music-round","music round",2,"other","music-round; music round"
"materials included","materials included",2,"other",""
"hybrid meeting","hybrid meeting",2,"other",""
"no fee","no fee",2,"other","no fee; no-fee"
"instrumental jam","instrumental jam",2,"other",""
"soul jazz","soul jazz",2,"other","soul jazz; soul-jazz"
"intimate wine bar","intimate wine bar",2,"other","intimate wine bar; intimate wine-bar"
"workout class","workout class",2,"other",""
"pop culture and music","pop culture and music",2,"other",""
"cultural center","cultural center",2,"other",""
"solo performance","solo performance",2,"other",""
"country line dance","country line dance",2,"other",""
"social dance party","social dance party",2,"other",""
"sober-friendly","sober friendly",2,"other",""
"winery venue","winery venue",2,"other",""
"referral group","referral group",2,"other",""
"the-one-stop","the one stop",2,"other",""
"weekly-special","weekly special",2,"other","weekly-special; weekly special"
"scenic experience","scenic experience",2,"other",""
"for moms","for moms",2,"other",""
"transylvania county","transylvania county",2,"other",""
"artisan baked goods","artisan baked goods",2,"other","artisan baked goods; artisan-baked-goods"
"21+ only","21+ only",2,"other",""
"artisan bread","artisan bread",2,"other",""
"holiday market","holiday market",2,"other",""
"marketing-basics","marketing basics",2,"other",""
"college athletics","college athletics",2,"other",""
"hosted","hosted",2,"other",""
"all-women","all women",2,"other",""
"pub-performance","pub performance",2,"other","pub-performance; pub performance"
"grounding","grounding",2,"other",""
"weekend brunch","weekend brunch",2,"other",""
"free books","free books",2,"other",""
"cover bands","cover bands",2,"other",""
"record-store-venue","record store venue",2,"other",""
"touring band","touring band",2,"other",""
"hardcore","hardcore",2,"other",""
"inclusive community","inclusive community",2,"other",""
"evening set","evening set",2,"other",""
"cover-charge","cover charge",2,"other","cover-charge; cover charge"
"caregiver-friendly","caregiver friendly",2,"other",""
"mexican food","mexican food",2,"other",""
"food vendor","food vendor",2,"other",""
"vendor fair","vendor fair",2,"other","vendor fair; vendor-fair"
"craft vendors","craft vendors",2,"other",""
"healing","healing",2,"other",""
"weekly-tuesday","weekly tuesday",2,"other","weekly-tuesday; weekly tuesday"
"movement class","movement class",2,"other",""
"woodfin studio","woodfin studio",2,"other",""
"interactive workshop","interactive workshop",2,"other",""
"deconstruction","deconstruction",2,"other",""
"late night fun","late night fun",2,"other",""
"call and response","call and response",2,"other","call and response; call-and-response"
"performance opportunity","performance opportunity",2,"other",""
"three-band bill","three band bill",2,"other",""
"bar takeover","bar takeover",2,"other",""
"one world brewing west","one world brewing west",2,"other",""
"eating disorders","eating disorders",2,"other",""
"indoor music venue","indoor music venue",2,"other",""
"pop","pop",2,"other",""
"nontraditional flavors","nontraditional flavors",2,"other",""
"dinner service","dinner service",2,"other",""
"can special","can special",2,"other",""
"sunday brunch","sunday brunch",2,"other",""
"toe-tapping","toe tapping",2,"other",""
"animal-themed","animal themed",2,"other",""
"informal","informal",2,"other",""
"long-term","long term",2,"other",""
"studio","studio",2,"other",""
"professional networking","professional networking",2,"other",""
"vintage","vintage",2,"other",""
"halftime show","halftime show",2,"other",""
"cycling","cycling",2,"other",""
"essential-oils","essential oils",2,"other","essential-oils; essential oils"
"instructor-kim-reigle","instructor kim reigle",2,"other",""
"fresh ingredients","fresh ingredients",2,"other","fresh ingredients; fresh-ingredients"
"morning practice","morning practice",2,"other",""
"nerd culture","nerd culture",2,"other","nerd culture; nerd-culture"
"short talks","short talks",2,"other","short talks; short-talks"
"local theater","local theater",2,"other",""
"weekly-night","weekly night",2,"other",""
"spiritual discussion","spiritual discussion",2,"other",""
"house-band-led","house band led",2,"other","house-band-led; house band-led"
"older-adults","older adults",2,"other","older-adults; older adults"
"acoustic duo","acoustic duo",2,"other",""
"food pop-up","food pop up",2,"other","food pop-up; food-pop-up"
"church-based","church based",2,"other",""
"local chefs","local chefs",2,"other","local chefs; local-chefs"
"bar/venue","bar/venue",2,"other",""
"rec center venue","rec center venue",2,"other",""
"troll sculptures","troll sculptures",2,"other",""
"senior mobility","senior mobility",2,"other",""
"peer connections","peer connections",2,"other","peer connections; peer-connections"
"social-games","social games",2,"other",""
"drink prizes","drink prizes",2,"other",""
"indoor market","indoor market",2,"other",""
"late night show","late night show",2,"other","late night show; late-night show"
"artisan crafts","artisan crafts",2,"other",""
"bar-hosted","bar hosted",2,"other",""
"7-rounds","7 rounds",2,"other",""
"naloxone","naloxone",2,"other",""
"free training","free training",2,"other",""
"arden nc","arden nc",2,"other",""
"literary trivia","literary trivia",2,"other",""
"group-readings","group readings",2,"other",""
"young-professionals","young professionals",2,"other","young-professionals; young professionals"
"shareable-bottles","shareable bottles",2,"other","shareable-bottles; shareable bottles"
"hosted by stephen evans","hosted by stephen evans",2,"other",""
"ages 3-5","ages 3 5",2,"other",""
"auditorium venue","auditorium venue",2,"other",""
"gentle practice","gentle practice",2,"other",""
"brewery-night","brewery night",2,"other","brewery-night; brewery night"
"country rock","country rock",2,"other","country rock; country-rock"
"educational","educational",2,"other",""
"food and drink","food and drink",2,"other",""
"benefit concert","benefit concert",2,"other",""
"band performance","band performance",2,"other",""
"casual-competitive","casual competitive",2,"other",""
"crowd-friendly","crowd friendly",2,"other",""
"asheville nightlife","asheville nightlife",2,"other",""
"crochet","crochet",2,"other",""
"guest-djs","guest djs",2,"other","guest-djs; guest djs"
"out-and-back","out and back",2,"other",""
"orchestra","orchestra",2,"other",""
"local business support","local business support",2,"other",""
"paid entry","paid entry",2,"other",""
"indoor concert","indoor concert",2,"other",""
"ticketed show","ticketed show",2,"other",""
"drop-in event","drop in event",2,"other",""
"expressive arts","expressive arts",2,"other",""
"male-identifying","male identifying",2,"other",""
"artisanal foods","artisanal foods",2,"other",""
"team-building","team building",2,"other",""
"12-step meeting","12 step meeting",2,"other",""
"lean-portfolio-management","lean portfolio management",2,"other",""
"sunday residency","sunday residency",2,"other",""
"bar setting","bar setting",2,"other",""
"animal interaction","animal interaction",2,"other",""
"wooden-sculptures","wooden sculptures",2,"other",""
"prizes awarded","prizes awarded",2,"other",""
"cherokee history","cherokee history",2,"other",""
"cultural heritage","cultural heritage",2,"other",""
"open discussion","open discussion",2,"other","open discussion; open-discussion"
"gallery stroll","gallery stroll",2,"other",""
"clay demonstrations","clay demonstrations",2,"other",""
"mindfulness workshop","mindfulness workshop",2,"other",""
"resilience","resilience",2,"other",""
"emergency preparedness","emergency preparedness",2,"other","emergency preparedness; emergency-preparedness"
"book illustration","book illustration",2,"other",""
"financial literacy","financial literacy",2,"other",""
"intimate show","intimate show",2,"other","intimate show; intimate-show"
"teams","teams",2,"other",""
"appalachian","appalachian",2,"other",""
"acoustic-jam","acoustic jam",2,"other","acoustic-jam; acoustic jam"
"song circle","song circle",2,"other",""
"national-comics","national comics",2,"other",""
"personal finance","personal finance",2,"other",""
"wine bar venue","wine bar venue",2,"other",""
"tektites and meteorites","tektites and meteorites",2,"other",""
"tcg","tcg",2,"other",""
"ages 10-12","ages 10 12",2,"other",""
"adults","adults",2,"other",""
"21+ crowd","21+ crowd",2,"other",""
"traditional","traditional",2,"other",""
"mountain-music","mountain music",2,"other","mountain-music; mountain music"
"local art history","local art history",2,"other",""
"signup-on-site","signup on site",2,"other",""
"dancehall","dancehall",2,"other",""
"partner dancing","partner dancing",2,"other","partner dancing; partner-dancing"
"holistic healing","holistic healing",2,"other",""
"vinyasa-style","vinyasa style",2,"other",""
"instructor-pashupa","instructor pashupa",2,"other",""
"burial beer co.","burial beer co.",2,"other",""
"brevard event","brevard event",2,"other",""
"collage workshop","collage workshop",2,"other",""
"dj music","dj music",2,"other",""
"open studio","open studio",2,"other",""
"hosted by tony willingham","hosted by tony willingham",2,"other",""
"sign-ups","sign ups",2,"other",""
"soulful-music","soulful music",2,"other","soulful-music; soulful music"
"canned beer","canned beer",2,"other",""
"creative expression","creative expression",2,"other",""
"sober living","sober living",2,"other",""
"write-a-question opportunity","write a question opportunity",2,"other","write-a-question opportunity; write-a-question-opportunity"
"pmp","pmp",2,"other",""
"literary discussion","literary discussion",2,"other",""
"dynamic flow","dynamic flow",2,"other",""
"restaurant-venue","restaurant venue",2,"other","restaurant-venue; restaurant venue"
"taproom-venue","taproom venue",2,"other","taproom-venue; taproom venue"
"pro-wrestling","pro wrestling",2,"other",""
"tickets required","tickets required",2,"other","tickets required; tickets-required"
"abraham-hicks","abraham hicks",2,"other","abraham-hicks; abraham hicks"
"discussion-based","discussion based",2,"other",""
"5-week-series","5 week series",2,"other","5-week-series; 5-week series"
"live stream","live stream",2,"other",""
"upbeat","upbeat",2,"other",""
"group-workshop","group workshop",2,"other","group-workshop; group workshop"
"folk art","folk art",2,"other","folk art; folk-art"
"2-mile","2 mile",2,"other",""
"mocktails","mocktails",2,"other",""
"service industry night","service industry night",2,"other",""
"casual night out","casual night out",2,"other",""
"pet friendly","pet friendly",2,"other","pet friendly; pet-friendly"
"embodiment","embodiment",2,"other",""
"pacific northwest focus","pacific northwest focus",2,"other",""
"live bands","live bands",2,"other",""
"pachamama","pachamama",2,"other",""
"jazz fusion","jazz fusion",2,"other",""
"instrumental","instrumental",2,"other",""
"interactive exhibition","interactive exhibition",2,"other",""
"class","class",2,"other",""
"recreational activities","recreational activities",2,"other","recreational activities; recreational-activities"
"spiritual celebration","spiritual celebration",2,"other",""
"bring-your-own","bring your own",2,"other",""
"outdoor bar","outdoor bar",2,"other",""
"celtic spirituality","celtic spirituality",2,"other",""
"pub jam","pub jam",2,"other",""
"lightworkers","lightworkers",2,"other",""
"tea ritual","tea ritual",2,"other",""
"troll-themed","troll themed",2,"other","troll-themed; troll themed"
"snap-eligible","snap eligible",2,"other",""
"wine bottles","wine bottles",2,"other",""
"outdoor ice rink","outdoor ice rink",2,"other",""
"intimate bookstore venue","intimate bookstore venue",2,"other",""
"salsa-bachata","salsa bachata",2,"other","salsa-bachata; salsa bachata"
"ages 0-5","ages 0 5",2,"other",""
"botanical drawing","botanical drawing",2,"other",""
"pen and ink","pen and ink",2,"other",""
"materials provided","materials provided",2,"other",""
"experienced players","experienced players",2,"other",""
"kava bar venue","kava bar venue",2,"other",""
"sign-up required","sign up required",2,"other",""
"nostalgic","nostalgic",2,"other",""
"anahata-focused","anahata focused",2,"other",""
"group circle","group circle",2,"other",""
"community-led","community led",2,"other",""
"free show","free show",2,"other",""
"biweekly","biweekly",2,"other",""
"django-inspired","django inspired",2,"other",""
"musician meetup","musician meetup",2,"other",""
"weekly worship","weekly worship",2,"other",""
"senior-friendly-activities","senior friendly activities",2,"other","senior-friendly-activities; senior-friendly activities"
"acoustic-ensemble","acoustic ensemble",2,"other",""
"rural outreach","rural outreach",2,"other",""
"coed","coed",2,"other",""
"ongoing event","ongoing event",2,"other",""
"body-awareness","body awareness",2,"other","body-awareness; body awareness"
"guided walk","guided walk",2,"other",""
"movement practice","movement practice",2,"other",""
"candlelight yoga","candlelight yoga",2,"other",""
"library-tour","library tour",2,"other",""
"behind-the-scenes","behind the scenes",2,"other",""
"rummikub","rummikub",2,"other",""
"hendersonville","hendersonville",2,"other",""
"roast","roast",2,"other",""
"reclaimed-wood","reclaimed wood",2,"other",""
"medieval theme","medieval theme",2,"other",""
"guitar trio","guitar trio",2,"other",""
"evening activity","evening activity",2,"other",""
"virtuosic guitar","virtuosic guitar",2,"other","virtuosic guitar; virtuosic-guitar"
"arena show","arena show",2,"other","arena show; arena-show"
"social health","social health",2,"other",""
"martial-dance fusion","martial dance fusion",2,"other","martial-dance fusion; martial-dance-fusion"
"poetry open mic","poetry open mic",2,"other",""
"long-running event","long running event",2,"other",""
"aafa/ace/nasm-accredited","aafa/ace/nasm accredited",2,"other",""
"beer tokens","beer tokens",2,"other","beer tokens; beer-tokens"
"pmi-aligned","pmi aligned",1,"other",""
"parent-caregiver participation","parent caregiver participation",1,"other",""
"intimate set","intimate set",1,"other",""
"formerly-swanny-crowe-and-the-monk","formerly swanny crowe and the monk",1,"other",""
"hosted by who gave this b*tch a mic","hosted by who gave this b*tch a mic",1,"other",""
"local music scene","local music scene",1,"other",""
"big south","big south",1,"other",""
"recurring weekly event","recurring weekly event",1,"other",""
"craft supplies provided","craft supplies provided",1,"other",""
"singles social","singles social",1,"other",""
"dinner","dinner",1,"other",""
"local food","local food",1,"other",""
"wine-pairings","wine pairings",1,"other",""
"vegan-and-gluten-free","vegan and gluten free",1,"other",""
"metal stamping","metal stamping",1,"other",""
"jewelry studio","jewelry studio",1,"other",""
"bipolar-disorder","bipolar disorder",1,"other",""
"free-weekly","free weekly",1,"other",""
"men's-only","men's only",1,"other",""
"casual attire","casual attire",1,"other",""
"monthly book club","monthly book club",1,"other",""
"fitness studio","fitness studio",1,"other",""
"salsa night","salsa night",1,"other",""
"community circle","community circle",1,"other",""
"folk-string-band","folk string band",1,"other",""
"prohibition-era cocktails","prohibition era cocktails",1,"other",""
